15:16:49.205 : tid: MN0: Create (tid:35020)
15:16:49.207 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
15:16:49.208 : tid: MN0: Build date: [(Mar 26 2024) 14:30:55]
15:16:49.209 : tid: MN0: affinity already applied (65534)
15:16:53.103 : tid:   1: ==========================================================
15:16:53.104 : tid:   1: New test: _oneContact=1, maxContacts=1
15:16:53.105 : tid:   1: maxPCNodeVerts=4000
15:16:53.106 : tid:   1: use pointcloud multithread
15:16:53.106 : tid:   1: ==========================================================
15:16:53.110 : tid:   1: 0: TestType='Inside',  CheckInside {
15:16:53.118 : tid:   1:  === Process 2x1 frags ===
15:16:53.120 : tid:   1:  0 exec 0:0 {
15:16:53.123 : tid:   1:   Found 48 pairs
15:16:59.399 : tid:   1:   3D_object	0
15:16:59.400 : tid:   1:   3D_object	1
15:16:59.402 : tid:   1:   line	(-6.019; 78.495; -45.492)	(7.513; 81.632; -43.355)	0
15:16:59.516 : tid:   1:   triangle	(-21.196; 82.542; -94.416)	(-43.570; 70.563; -70.459)	(-45.154; 70.563; -70.459)	0
15:16:59.516 : tid:   1:   triangle	(-43.570; 70.563; -70.459)	(-21.196; 82.542; -94.416)	(-19.612; 82.542; -94.416)	0
15:16:59.517 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-43.570; 70.563; -70.459)	(-19.612; 82.542; -94.416)	0
15:16:59.518 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-1.378; 76.662; -149.750)	(-1.378; 76.662; -39.083)	0
15:16:59.519 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-8.331; 80.138; -147.729)	(-2.585; 77.265; -73.917)	0
15:16:59.519 : tid:   1:   triangle	(-14.915; 83.430; -147.729)	(-8.331; 80.138; -147.729)	(-5.268; 78.607; -73.917)	0
15:16:59.520 : tid:   1:   triangle	(-2.585; 77.265; -73.917)	(-8.331; 80.138; -147.729)	(-1.378; 76.662; -149.750)	0
15:16:59.521 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-16.375; 84.160; -149.750)	(-14.915; 83.430; -147.729)	0
15:16:59.522 : tid:   1:   triangle	(-1.378; 76.662; -149.750)	(-1.378; 77.454; -149.750)	(-1.378; 77.454; -39.083)	0
15:16:59.522 : tid:   1:   triangle	(-1.378; 77.454; -39.083)	(-1.378; 76.662; -39.083)	(-1.378; 76.662; -149.750)	0
15:16:59.523 : tid:   1:   triangle	(-16.375; 84.160; -38.541)	(-16.375; 84.160; -149.750)	(-5.268; 78.607; -73.917)	0
15:16:59.524 : tid:   1:   line	(-6.019; 78.495; -45.492)	(-2.882; 80.632; -30.480)	0
15:16:59.525 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(2.372; 74.786; -39.083)	(2.372; 74.786; -35.625)	0
15:16:59.526 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(2.372; 74.786; -35.625)	(-9.331; 80.638; -35.625)	0
15:16:59.526 : tid:   1:   triangle	(-8.331; 80.138; -41.104)	(-1.378; 76.662; -39.083)	(-8.331; 80.138; -37.500)	0
15:16:59.527 : tid:   1:   triangle	(2.372; 75.578; -39.083)	(-1.378; 76.662; -39.083)	(-1.378; 77.454; -39.083)	0
15:16:59.528 : tid:   1:   triangle	(-1.378; 76.662; -39.083)	(2.372; 75.578; -39.083)	(2.372; 74.786; -39.083)	0
